long_thresh,short_thresh,sharpe,pnl_pct,max_dd_pct,win_rate_pct,profit_factor,nb_trades
4,-4,1.097,18.87,-10.36,80.0,2.475,10
3,-4,1.038,18.04,-10.36,75.0,2.585,12
2,-4,0.759,16.74,-13.25,65.0,1.573,20
4,-2,0.727,27.76,-23.26,60.0,2.143,30
3,-2,0.708,26.86,-23.26,59.38,2.179,32
4,-3,0.694,22.48,-22.16,52.94,2.128,17
3,-3,0.672,21.63,-22.16,52.63,2.186,19
2,-2,0.657,25.47,-26.7,57.5,1.775,40
2,-3,0.608,20.29,-22.16,51.85,1.62,27
4,-1,0.536,19.87,-24.62,56.0,1.787,25
3,-1,0.521,19.04,-24.62,55.56,1.822,27
2,-1,0.489,17.73,-26.88,54.29,1.518,35
1,-2,0.415,13.09,-36.31,58.54,1.586,41
1,-3,0.329,8.42,-31.4,53.57,1.409,28
1,-1,0.279,6.11,-38.37,55.56,1.374,36
1,-4,0.278,5.22,-25.51,66.67,1.317,21
