fold,period,pnl_pct,sharpe,max_dd,win_rate,nb_trades,sma,ticker
1,2024-04-10 -> 2024-12-28,0.0,0.0,0.0,0.0,0,10/50/200,XRP-USD
2,2024-12-29 -> 2025-09-17,2.89,1.387,0.0,0.0,0,16/19/100,XRP-USD
3,2025-09-18 -> 2026-06-07,0.0,0.0,0.0,0.0,0,16/38/100,XRP-USD
1,2024-04-10 -> 2024-12-28,0.0,0.0,0.0,0.0,0,10/50/100,SOL-USD
2,2024-12-29 -> 2025-09-17,0.0,0.0,0.0,0.0,0,20/38/100,SOL-USD
3,2025-09-18 -> 2026-06-07,0.2,0.806,-0.04,100.0,1,10/38/200,SOL-USD
1,2024-04-10 -> 2024-12-28,5.92,1.075,-0.04,0.0,1,20/50/100,BNB-USD
2,2024-12-29 -> 2025-09-17,9.21,0.967,-3.83,75.0,4,20/38/100,BNB-USD
3,2025-09-18 -> 2026-06-07,0.24,0.719,-0.08,0.0,1,20/50/200,BNB-USD
1,2024-04-10 -> 2024-12-28,0.0,0.0,0.0,0.0,0,20/50/100,ADA-USD
2,2024-12-29 -> 2025-09-17,-0.66,-0.098,-4.43,0.0,1,20/50/100,ADA-USD
3,2025-09-18 -> 2026-06-07,0.0,0.0,0.0,0.0,0,10/50/200,ADA-USD
1,2024-04-10 -> 2024-12-28,0.0,0.0,0.0,0.0,0,10/19/100,AVAX-USD
2,2024-12-29 -> 2025-09-17,0.0,0.0,0.0,0.0,0,16/19/200,AVAX-USD
3,2025-09-18 -> 2026-06-07,-3.82,-0.939,-5.67,0.0,1,10/50/200,AVAX-USD
1,2024-04-10 -> 2024-12-28,0.0,0.0,0.0,0.0,0,16/19/246,BTC-USD
2,2024-12-29 -> 2025-09-17,-0.85,-0.967,-0.85,0.0,1,10/19/100,BTC-USD
3,2025-09-18 -> 2026-06-07,0.0,0.0,0.0,0.0,0,10/19/100,BTC-USD
1,2024-04-10 -> 2024-12-28,0.0,0.0,0.0,0.0,0,10/38/200,ETH-USD
2,2024-12-29 -> 2025-09-17,1.94,0.981,0.0,0.0,0,10/19/100,ETH-USD
3,2025-09-18 -> 2026-06-07,0.0,0.0,0.0,0.0,0,20/50/100,ETH-USD
1,2024-04-10 -> 2024-12-28,0.0,0.0,0.0,0.0,0,16/19/246,DOGE-USD
2,2024-12-29 -> 2025-09-17,0.0,0.0,0.0,0.0,0,16/19/246,DOGE-USD
3,2025-09-18 -> 2026-06-07,0.0,0.0,0.0,0.0,0,16/19/246,DOGE-USD
